Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,1: Escale,1: Resolution,2: Escale,2: Resolution,Batch,Heat,Lot,Note,Sample,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
62,System Check,104.62,,,,,"Wed Feb 28, 2024 - 12:25:49",User,,ppm,System Check,Pass,,7.43712,147.715,7.43955,136.086,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Mining,140.03,28.89,28.81,29.74,45.7,"Wed Feb 28, 2024 - 12:34:31",User,2,ppm,Mining,,,,,,,,,,,57,5.4937,1.0838,15205.7188,405.3488,1.9515,1.1845,<LOD,3.5028,35.1357,19.1497,808422.375,1555.6554,<LOD,1.4412,33589.6641,182.5722,14.0549,1.6612,<LOD,32.7531,<LOD,47.2024,15.7817,4.9629,10.7192,3.3629,18485.9102,104.638,<LOD,0,<LOD,2.817,13274.6191,133.2555,<LOD,1802.9577,1403.4386,42.2635,<LOD,1.6056,5.1754,0.7158,<LOD,10.2164,1187.9,106.8024,14.8853,1.3757,3.4015,0.9926,62.943,1.5044,<LOD,0,1297.7285,38.977,5.9252,2.7185,<LOD,0.9079,104940.1797,393.5179,<LOD,5.5025,178.744,1.1915,<LOD,0,5.3344,0.9782,1492.8591,27.264,4.5315,1.5017,29.7095,7.4961,<LOD,8.654,6.4232,0.6752,171.8305,5.164,127.5286,1.4514
64,Mining,140.61,0,29.01,29.88,28.29,"Wed Feb 28, 2024 - 12:38:41",User,2,ppm,Mining,,,,,,,,,,,57,5.4524,1.0778,17088.5137,429.058,<LOD,1.7086,<LOD,3.3329,21.5353,18.9172,799536.8125,1737.976,<LOD,1.358,32377.8027,179.8301,12.1017,1.6303,<LOD,32.2925,<LOD,45.5275,13.7948,4.9687,9.8441,3.3249,17221.5918,101.3601,<LOD,0,<LOD,2.7112,13933.8135,136.2162,2183.5952,1397.4027,1297.6707,40.7732,1.56,0.8632,5.7699,0.7102,8.0675,5.3827,1004.7351,104.0784,14.8135,1.3617,4.0406,1.0024,57.0824,1.4213,<LOD,0,1245.7261,38.3575,<LOD,5.6765,<LOD,0.8821,111740.9609,403.3102,5.4395,2.2178,167.5118,1.1498,<LOD,0,5.7635,0.9495,1706.0503,27.8771,1.79,1.3969,34.5716,7.7638,<LOD,8.5749,7.748,0.6706,172.6871,5.1497,113.1397,1.3785
65,Mining,140.1,0,29.12,29.81,29.43,"Wed Feb 28, 2024 - 12:42:39",User,2,ppm,Mining,,,,,,,,,,,57,5.8033,1.082,16736.9863,424.5331,<LOD,1.7073,<LOD,3.162,41.6972,19.0964,802999.0625,2430.2849,<LOD,1.3222,33349.6289,178.0686,11.7447,1.6256,<LOD,33.0844,<LOD,42.682,11.3638,4.6571,7.3322,3.2197,15214.1016,96.6988,<LOD,0,<LOD,2.6347,12622.6523,127.359,<LOD,3350.0771,1155.1564,38.8332,<LOD,1.4534,4.279,0.6915,<LOD,7.4252,981.1584,103.699,15.752,1.3699,3.4163,0.9873,53.4145,1.3779,<LOD,0,1161.193,37.5183,7.3892,2.713,<LOD,0.8378,112458.375,406.3294,4.1853,2.2162,168.6225,1.1508,<LOD,0,4.7669,0.9137,1399.9016,25.2846,1.8769,1.3872,24.8623,6.9649,<LOD,7.9427,5.878,0.6428,154.9271,4.8843,97.435,1.3078
66,Mining,140.35,0,29,29.06,28.86,"Wed Feb 28, 2024 - 12:48:01",User,2,ppm,Mining,,,,,,,,,,,50,2.4685,1.2912,25059.0586,537.6053,327.1248,4.6086,<LOD,5.1424,95.9394,25.1108,685727.1875,2028.17,<LOD,2.8148,6930.0903,112.9535,7.5192,1.995,<LOD,29.6147,<LOD,84.9942,35.0282,6.8815,164.784,6.9912,57544.3555,171.938,<LOD,0,<LOD,3.4044,11596.7246,154.903,<LOD,1970.56,1816.4355,49.6807,<LOD,1.6515,7.189,0.8456,21.1004,7.7432,711.7812,90.0905,66.7974,2.6396,1.8726,1.1994,58.4349,1.6444,<LOD,0,887.0778,34.0747,<LOD,5.5292,<LOD,2.0845,205454.1406,492.198,6.1869,2.8529,154.2275,1.2585,<LOD,0,6.1283,1.4813,2977.5471,40.7163,3.1266,1.641,56.7787,11.6091,<LOD,0,15.0412,0.8722,82.781,4.329,183.0822,1.8663
67,Mining,141.27,0,28.71,29.34,29.21,"Wed Feb 28, 2024 - 12:51:13",User,2,ppm,Mining,,,,,,,,,,,50,2.4567,1.3166,27092.6953,565.501,339.0086,4.6709,<LOD,4.9953,99.2693,25.6275,663970.25,2132.0679,<LOD,2.7953,7253.9927,121.0585,6.0376,2.0172,<LOD,29.927,<LOD,100.996,37.9309,7.4948,194.7142,7.4249,56637.8438,170.9666,<LOD,0,<LOD,3.2855,11521.6396,163.5216,<LOD,2051.5327,1575.8802,46.8475,<LOD,2.4013,6.3025,0.8311,18.9452,7.8669,689.5007,92.3096,68.3915,2.6548,1.6659,1.2181,55.1335,1.5962,<LOD,0,880.242,34.5229,7.6947,3.5437,1.1208,0.8887,225896.7969,512.7642,6.0601,2.9086,149.6658,1.2375,<LOD,0,4.4594,1.4379,3151.7031,44.9726,2.53,1.5997,57.516,12.7009,<LOD,0,14.6608,0.8599,74.4724,4.1618,181.3969,1.8502
68,Mining,141.1,0,29.12,29.33,29.57,"Wed Feb 28, 2024 - 12:55:24",User,2,ppm,Mining,,,,,,,,,,,50,2.773,1.3391,25939.168,554.3494,335.4067,4.6734,<LOD,4.9729,125.8108,26.139,681527.25,2174.2993,<LOD,2.8054,6768.1313,115.0804,7.0615,2.0559,<LOD,30.0808,<LOD,83.1976,39.8329,7.3077,246.9174,8.2311,53750.0039,169.8586,<LOD,0,<LOD,3.3172,10917.7539,156.7829,1705.0149,1472.9402,1470.8298,46.1772,<LOD,1.5446,6.8244,0.851,30.4833,7.8516,730.8677,93.0644,66.0292,2.64,1.2395,1.2247,49.2442,1.5595,<LOD,0,920.7496,35.0201,<LOD,7.0817,1.4788,0.9041,211890.3906,503.9597,<LOD,6.5226,140.9497,1.2118,<LOD,0,5.516,1.4554,2985.1506,42.2252,5.9698,1.6901,62.3575,12.1376,<LOD,0,17.0544,0.8765,75.6515,4.2438,174.1065,1.829
69,Mining,140.89,0,29.46,29.7,28.53,"Wed Feb 28, 2024 - 12:58:49",User,2,ppm,Mining,,,,,,,,,,,50,2.9016,1.3202,24030.041,530.9088,348.3485,4.6968,<LOD,4.9699,125.9455,25.74,690900.125,2174.7397,<LOD,2.858,6755.3042,114.0896,5.6611,2.0081,<LOD,29.2949,<LOD,82.4448,37.364,7.1916,230.8037,7.9185,53724.9805,168.1222,<LOD,0,<LOD,3.2939,10556.1162,152.9614,3592.9141,1528.0629,1433.0345,45.1804,<LOD,1.5339,6.7628,0.8379,23.1505,7.6909,752.8552,92.8651,67.102,2.6266,<LOD,1.7654,52.732,1.571,<LOD,0,923.741,34.457,<LOD,6.1677,1.3788,0.8945,202923.6719,489.8602,5.6919,2.9027,144.9098,1.2142,<LOD,0,4.2367,1.4557,3005.4214,42.2869,3.8865,1.625,63.4903,12.1127,<LOD,0,17.2447,0.8752,79.8757,4.2747,180.3335,1.8358
70,Mining,140.63,0,29.38,29.79,29.28,"Wed Feb 28, 2024 - 13:01:55",User,2,ppm,Mining,,,,,,,,,,,59,5.5399,0.8604,8453.1377,277.5334,<LOD,1.2444,<LOD,2.6119,<LOD,21.0553,883993.4375,1140.3491,<LOD,1.4099,16952.5371,128.4696,14.3318,1.3184,<LOD,32.135,<LOD,29.7033,<LOD,6.859,<LOD,4.6712,8152.5649,67.5095,<LOD,0,<LOD,2.2602,7776.9702,103.2541,<LOD,1429.2009,904.8722,32.5958,7.6,0.7756,5.7582,0.6358,<LOD,10.9776,1306.9922,105.8867,5.7406,0.9826,3.6626,0.7905,28.9301,1.005,<LOD,0,1813.6383,40.6282,6.2375,2.0928,<LOD,0.7164,69626.4688,310.6308,<LOD,4.1576,125.1158,0.907,<LOD,0,2.4233,0.8308,704.6324,19.7338,4.5335,1.2294,7.3377,5.4552,<LOD,6.8784,5.5705,0.529,43.7759,2.7029,48.1946,0.9401
71,Mining,141.59,0,29.49,29.71,29.91,"Wed Feb 28, 2024 - 13:05:52",User,2,ppm,Mining,,,,,,,,,,,59,5.9572,0.8952,12611.0244,341.6979,<LOD,1.5771,<LOD,2.6251,<LOD,21.6864,843232.4375,1398.6781,<LOD,1.4627,16753.6289,130.2029,15.8181,1.3753,<LOD,32.6684,<LOD,32.6077,<LOD,7.2509,5.3991,2.9256,9455.3105,73.6447,<LOD,0,<LOD,2.2434,9438.5967,113.9989,<LOD,1723.1536,1006.5222,34.6526,8.2427,0.7973,6.4074,0.6527,10.9459,4.8207,1183.5914,106.8512,6.6519,1.041,3.7921,0.8176,31.7717,1.0536,<LOD,0,1595.0852,40.2488,5.5361,2.1515,<LOD,0.7616,103455.9375,377.7474,2.9266,1.7482,126.8792,0.9347,<LOD,0,3.7167,0.8842,921.4333,21.8835,3.2435,1.2298,12.6945,6.0769,<LOD,6.825,5.6342,0.5475,36.0397,2.5869,54.7719,0.997
