STATION_ID,PIMS_NUMBER,SAMPLE_NUMBER,SAMPLE_DESCRIPTION,ALUMINUM_UG_G_DRY,ANTIMONY_UG_G_DRY,ARSENIC_UG_G_DRY,BARIUM_UG_G_DRY,BERYLLIUM_UG_G_DRY,CADMIUM_UG_G_DRY,CALCIUM_UG_G_DRY,CHROMIUM_+6_REACTIVE_UG_G_DRY,CHROMIUM_UG_G_DRY,COBALT_UG_G_DRY,COPPER_UG_G_DRY,IRON_UG_G_DRY,LEAD_UG_G_DRY,MAGNESIUM_UG_G_DRY,MANGANESE_UG_G_DRY,MERCURY_UG_G_DRY,MOLYBDENUM_UG_G_DRY,NICKEL_UG_G_DRY,NITRITE_NITRATE_UG_G_DRY,NITROGEN_TOTAL_%,PHOSPHORUS_MG_G_DRY,POTASSIUM_UG_G_DRY,SELENIUM_UG_G_DRY,SILVER_UG_G_DRY,SODIUM_ADSORPTION_RATIO_SAR_MEQ_L,SODIUM_UG_G_DRY,STRONTIUM_UG_G_DRY,SULFUR__%,THALLIUM_UG_G_DRY,TITANIUM_UG_G_DRY,URANIUM_UG_G_DRY,VANADIUM_UG_G_DRY,ZINC_UG_G_DRY,CONDUCTIVITY_MS_CM,PH_IN_DISTILLED_WATER_SOLUTION,SAMPLE_DATE
1008001,8559,5901,SOIL 0-5 CM,17350,0.20,3.6,44.0,0.6,0.430000,9500.00,0.5,18.0,4.8,11.0,19780,29,4390,505,0.08,0.05,9.5,10.0,0.70,0.54,1197,0.40,0.10,0.027,118,16,0.026,0.5,2970,0.8,36,76,0.15,6.00,02/07/1991
1008001,8559,5902,SOIL 0-5 CM,17520,0.20,5.2,53.9,0.5,0.560000,11730.00,0.5,23.0,5.8,14.0,21900,26,4710,637,0.10,0.20,11.5,10.0,0.45,0.53,1251,2.80,0.08,0.146,99,17,0.024,0.5,3170,1.4,40,82,0.15,6.00,02/07/1991
1008001,8559,5903,SOIL 0-5 CM,19000,0.30,5.6,55.6,0.6,0.560000,13270.00,0.5,23.0,5.9,13.0,24200,28,6460,619,0.10,0.15,12.0,10.0,0.43,0.60,1246,2.80,0.08,0.161,94,16,0.023,0.5,3080,1.5,39,85,0.18,6.05,02/07/1991
1008002,8560,5904,SOIL 0-5 CM,13790,0.18,5.4,30.5,0.1,0.180000,32000.00,0.5,12.0,1.1,21.0,20200,15,8680,374,0.06,0.19,6.9,5.0,0.18,0.69,1935,0.30,0.22,0.294,85,33,0.030,1.0,2380,1.5,18,38,0.27,7.00,02/07/1991
1008002,8560,5905,SOIL 0-5 CM,15800,0.20,7.0,40.3,0.5,0.190000,32500.00,0.5,19.0,6.0,25.0,22200,17,10370,479,0.06,0.05,11.3,5.0,0.18,0.75,2540,1.00,0.08,0.373,174,35,0.028,0.5,2630,1.4,28,42,0.25,6.90,02/07/1991
1008002,8560,5906,SOIL 0-5 CM,14410,0.18,6.8,38.4,0.5,0.220000,33900.00,0.5,17.0,5.7,24.0,20900,17,10550,456,0.06,0.05,10.8,5.0,0.19,0.74,2270,1.20,0.08,0.355,172,37,0.023,0.5,2590,1.4,26,41,0.26,7.00,02/07/1991
1008003,8561,5907,SOIL 0-5 CM,12350,0.40,9.0,53.8,0.1,0.180000,3480.00,0.5,13.0,2.1,0.1,16930,13,2780,560,0.08,0.40,5.5,10.0,0.42,0.97,1402,0.60,0.09,0.415,166,12,0.047,1.3,2150,2.0,33,48,0.46,6.70,03/07/1991
1008003,8561,5908,SOIL 0-5 CM,22300,0.18,10.9,75.2,1.1,0.420000,21300.00,0.5,22.0,10.8,39.0,35700,33,10600,1002,0.08,0.05,20.4,10.0,0.42,0.95,6880,0.40,0.18,0.354,182,26,0.049,0.5,3470,1.9,36,85,0.40,6.90,03/07/1991
1008003,8561,5909,SOIL 0-5 CM,21800,0.15,8.0,71.9,1.0,0.390000,22300.00,0.5,24.0,10.2,40.0,35100,33,10770,953,0.08,0.05,20.2,10.0,0.44,1.01,6450,0.50,0.17,0.376,175,30,0.052,0.5,3480,2.1,35,80,0.41,7.00,03/07/1991
1008004,8562,5910,SOIL 0-5 CM,15170,0.40,9.0,57.6,0.6,0.230000,15780.00,0.5,20.0,6.7,18.0,21400,17,10190,3590,0.06,0.05,11.6,1.7,0.18,0.58,2290,0.30,0.10,0.148,174,18,0.034,0.5,2980,0.9,31,43,0.14,7.35,03/07/1991
1008004,8562,5911,SOIL 0-5 CM,15260,0.40,9.0,56.3,0.6,0.250000,17520.00,0.5,21.0,7.3,21.0,22800,18,10700,1067,0.05,0.05,11.5,1.7,0.19,0.59,2230,0.40,0.10,0.213,167,18,0.045,0.5,2640,0.6,29,44,0.16,7.45,03/07/1991
1008004,8562,5912,SOIL 0-5 CM,15670,0.30,9.0,54.7,0.5,0.220000,17730.00,0.5,19.0,6.8,19.0,22600,17,11010,1091,0.04,0.20,11.6,1.3,0.17,0.58,2320,0.30,0.09,0.207,183,18,0.044,0.5,2800,0.6,31,43,0.15,7.40,03/07/1991
1008005,8563,5913,SOIL 0-5 CM,12740,0.60,5.2,44.5,0.5,0.120000,47600.00,0.5,19.0,5.7,13.0,17720,12,17260,523,0.03,0.05,10.6,4.4,0.18,0.57,2460,0.19,0.13,0.059,205,104,0.035,0.5,2120,0.6,28,39,0.23,7.60,03/07/1991
1008005,8563,5914,SOIL 0-5 CM,12020,0.40,5.4,42.5,0.5,0.120000,53400.00,0.5,18.0,6.0,14.0,17560,13,16870,534,0.03,0.05,10.2,3.4,0.19,0.60,2300,0.30,0.12,0.155,180,142,0.056,0.5,2520,0.5,25,38,0.24,7.65,03/07/1991
1008006,8564,5916,SOIL 0-5 CM,22000,0.80,7.8,88.1,1.0,0.400000,8470.00,0.5,35.0,10.3,21.0,23500,35,6390,735,0.07,0.05,22.1,7.9,0.30,0.57,4300,0.60,0.10,0.189,172,30,0.041,0.5,3020,1.0,43,77,0.21,7.05,03/07/1991
1008006,8564,5917,SOIL 0-5 CM,22200,0.05,8.4,89.3,1.0,0.390000,9010.00,0.5,38.0,10.9,40.0,25100,35,6460,775,0.11,0.05,22.5,10.0,0.31,0.61,4390,0.50,0.10,0.183,170,30,0.051,0.6,3130,1.0,43,83,0.23,6.95,03/07/1991
1008006,8564,5918,SOIL 0-5 CM,22100,0.30,8.8,89.1,1.0,0.390000,8870.00,0.5,38.0,11.0,25.0,24800,35,6410,714,0.11,0.05,23.0,9.3,0.30,0.64,4170,0.60,0.10,0.252,157,29,0.051,0.5,3090,1.2,41,79,0.22,7.00,03/07/1991
1008007,8565,5919,SOIL 0-5 CM,15080,0.40,13.0,72.9,0.6,0.600000,60100.00,0.5,23.0,6.6,16.0,27000,17,35000,1871,0.11,0.05,11.7,4.0,0.35,0.81,2130,0.50,0.15,0.167,195,31,0.054,0.5,2320,1.1,36,78,0.28,7.40,03/07/1991
1008007,8565,5920,SOIL 0-5 CM,15720,0.18,8.8,73.6,0.6,0.580000,66900.00,0.5,23.0,7.1,17.0,29300,20,37500,2010,0.12,0.05,11.6,5.3,0.37,0.86,2240,0.50,0.14,0.124,209,31,0.049,0.5,2810,0.8,35,79,0.29,7.45,03/07/1991
1008007,8565,5921,SOIL 0-5 CM,15820,0.40,10.8,79.1,0.6,0.610000,64500.00,0.5,24.0,7.1,17.0,29400,18,35800,2150,0.11,0.05,11.5,5.5,0.38,0.86,2250,0.70,0.18,0.109,170,32,0.052,0.5,2450,0.7,36,82,0.30,7.40,03/07/1991
1008008,8566,5922,SOIL 0-5 CM,26000,0.60,8.2,111.0,1.2,0.200000,19030.00,0.5,37.0,11.4,33.0,28700,25,11390,650,0.06,0.05,22.3,4.4,0.30,0.74,6270,0.30,0.10,0.058,198,33,0.048,0.5,2890,0.8,48,76,0.38,7.30,04/07/1991
1008008,8566,5923,SOIL 0-5 CM,25500,0.20,6.4,107.0,1.1,0.160000,19680.00,0.5,36.0,11.9,28.0,29100,25,11480,665,0.06,0.05,23.0,5.0,0.30,0.77,6200,0.30,0.11,0.045,196,32,0.064,0.5,3740,0.7,48,77,0.36,7.40,04/07/1991
1008008,8566,5924,SOIL 0-5 CM,25100,0.40,7.0,110.0,1.2,0.160000,20800.00,0.5,36.0,11.7,33.0,28800,27,12060,663,0.06,0.20,22.4,2.9,0.31,0.78,6220,0.30,0.12,0.053,192,32,0.054,0.5,3500,0.7,46,77,0.32,7.30,04/07/1991
1008009,8567,5925,SOIL 0-5 CM,14460,0.05,3.5,60.0,0.5,0.330000,21000.00,0.5,19.0,5.1,17.0,13430,23,7200,215,0.09,0.05,10.2,6.0,0.25,0.72,2030,0.40,0.02,0.188,142,28,0.077,0.5,2590,0.8,27,57,0.18,7.00,10/07/1991
1008009,8567,5926,SOIL 0-5 CM,17780,0.18,3.1,65.2,0.6,0.310000,20900.00,0.5,22.0,6.1,18.0,15870,26,7060,251,0.09,0.05,11.1,6.5,0.27,0.77,2570,0.50,0.02,0.220,170,29,0.066,0.5,2710,0.8,32,64,0.17,7.00,10/07/1991
1008009,8567,5927,SOIL 0-5 CM,15140,0.05,3.8,61.9,0.5,0.310000,22900.00,0.5,19.0,5.3,18.0,14560,23,7120,221,0.10,0.05,10.1,7.2,0.27,0.77,2080,0.40,0.02,0.196,139,28,0.073,0.5,2780,0.8,28,57,0.19,7.05,10/07/1991
1008010,8568,5928,SOIL 0-5 CM,15040,0.05,3.2,64.9,0.5,0.320000,4460.00,0.5,20.0,4.9,10.0,16300,24,2740,252,0.07,1.40,11.0,0.2,0.23,0.53,3330,0.30,0.16,0.083,83,23,0.060,0.5,3950,1.1,33,61,0.15,6.00,03/07/1991
1008010,8568,5929,SOIL 0-5 CM,12660,0.05,3.6,53.1,0.4,0.250000,4050.00,0.5,16.0,4.3,9.0,14590,22,2320,219,0.07,1.30,9.6,0.2,0.23,0.53,2410,0.40,0.12,0.069,55,19,0.066,0.5,3990,1.0,26,57,0.15,6.00,23/07/1991
1008010,8568,5930,SOIL 0-5 CM,11860,0.10,3.9,50.6,0.4,0.300000,4390.00,0.5,16.0,4.2,10.0,14430,22,2290,220,0.07,1.30,9.4,0.2,0.21,0.49,2270,0.40,0.12,0.072,57,19,0.063,0.5,4020,1.1,26,56,0.15,6.00,23/07/1991
1008011,8569,5931,SOIL 0-5 CM,17940,0.20,3.9,76.7,0.8,0.350000,4740.00,0.5,27.0,7.8,16.0,21900,19,3790,292,0.05,1.20,19.8,0.6,0.26,0.55,4120,0.50,0.13,0.064,77,41,0.066,0.5,2710,2.0,41,67,0.24,6.15,23/07/1991
1008011,8569,5932,SOIL 0-5 CM,17410,0.20,4.5,76.5,0.8,0.400000,4810.00,0.5,26.0,7.8,17.0,21200,19,3640,295,0.04,1.30,18.3,0.6,0.27,0.57,3790,0.60,0.15,0.092,74,48,0.082,0.5,2610,1.9,40,68,0.23,6.20,23/07/1991
1008011,8569,5933,SOIL 0-5 CM,22200,0.30,4.2,80.8,0.9,0.450000,4930.00,0.5,32.0,8.0,18.0,21700,21,4000,285,0.05,1.20,19.2,1.7,0.24,0.55,5660,0.60,0.13,0.060,111,52,0.074,0.5,2490,2.0,50,70,0.26,6.10,23/07/1991
1008012,8572,5934,SOIL 0-5 CM,17520,0.20,10.0,78.7,0.8,0.540000,4400.00,0.5,28.0,7.5,24.0,23200,49,3590,243,0.06,0.90,18.0,0.4,0.24,0.49,3700,0.70,0.16,0.158,113,24,0.088,0.5,2670,1.3,37,112,0.31,6.05,23/07/1991
1008012,8572,5935,SOIL 0-5 CM,15380,0.30,7.9,73.9,0.7,0.600000,4270.00,0.5,27.0,7.5,24.0,22100,48,3400,242,0.06,0.90,17.0,0.6,0.26,0.54,3040,0.70,0.15,0.167,87,23,0.084,0.5,2770,1.2,34,117,0.33,6.10,23/07/1991
1008012,8572,5936,SOIL 0-5 CM,18990,0.30,7.9,88.3,0.8,0.180000,4690.00,0.5,32.0,8.0,23.0,22500,50,3680,260,0.06,0.70,18.0,0.3,0.26,0.54,4520,0.75,0.16,0.036,139,30,0.086,0.5,2920,1.2,42,121,0.30,6.15,23/07/1991
1008013,8370,5938,SOIL 0-5 CM,11420,0.20,3.8,42.2,0.4,0.160000,33100.00,0.5,15.0,5.1,14.0,14830,17,11040,313,0.04,0.80,11.0,5.0,0.17,0.59,2210,0.30,0.11,0.034,167,37,0.084,0.5,2300,1.1,23,42,0.34,6.95,24/07/1991
1008013,8370,5939,SOIL 0-5 CM,12020,0.30,3.8,43.4,0.4,0.270000,32000.00,0.5,16.0,5.5,13.0,14970,16,10820,325,0.04,0.80,11.0,5.6,0.18,0.57,2330,0.30,0.12,0.046,183,37,0.056,0.5,2090,1.1,25,41,0.35,7.00,24/07/1991
1008014,8371,5940,SOIL 0-5 CM,18860,0.05,3.8,84.8,0.8,0.400000,14490.00,0.5,29.0,8.4,25.0,21000,24,9260,200,0.05,0.40,22.7,4.0,0.32,0.76,4780,0.60,0.60,0.082,141,31,0.045,0.5,3440,1.3,36,80,0.34,6.60,24/07/1991
1008014,8371,5941,SOIL 0-5 CM,18710,0.05,3.7,77.5,0.7,0.380000,14810.00,0.5,28.0,8.0,26.0,21900,25,9420,197,0.05,0.70,23.3,3.9,0.32,0.77,4240,0.60,0.60,0.081,121,23,0.047,0.5,3270,1.2,33,79,0.32,6.70,24/07/1991
1008014,8371,5942,SOIL 0-5 CM,17390,0.05,3.8,79.2,0.8,0.390000,14580.00,0.5,28.0,8.2,24.0,21300,24,9290,198,0.03,0.50,22.4,3.4,0.32,0.76,4410,0.60,0.60,0.084,119,30,0.050,0.5,3240,1.5,34,77,0.33,6.65,24/07/1991
1008015,8573,5943,SOIL 0-5 CM,16350,0.05,3.8,65.3,0.6,0.190000,58300.00,0.5,23.0,7.0,17.0,20100,19,23000,352,0.05,0.80,17.5,5.1,0.27,0.56,4240,0.30,0.26,0.075,114,47,0.049,0.5,2030,1.0,28,52,0.35,6.75,24/07/1991
1008015,8573,5944,SOIL 0-5 CM,15120,0.30,3.7,64.2,0.6,0.180000,53600.00,1.0,23.0,6.9,18.0,19130,19,21700,343,0.05,0.80,16.9,5.3,0.27,0.56,4340,0.30,0.25,0.047,117,44,0.039,0.5,2170,1.0,28,51,0.37,6.70,24/07/1991
