Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
17350,0.2,3.6,44.0,0.6,0.43,9500.0,0.5,18.0,4.8,11.0,19780,29,4390,505,0.08,0.05,9.5,10.0,700000.0,0.54,1197,0.4,0.1,0.027,118,16,26000.0,0.5,2970,0.8,36,76
17520,0.2,5.2,53.9,0.5,0.56,11730.0,0.5,23.0,5.8,14.0,21900,26,4710,637,0.1,0.2,11.5,10.0,450000.0,0.53,1251,2.8,0.08,0.146,99,17,24000.0,0.5,3170,1.4,40,82
19000,0.3,5.6,55.6,0.6,0.56,13270.0,0.5,23.0,5.9,13.0,24200,28,6460,619,0.1,0.15,12.0,10.0,430000.0,0.6,1246,2.8,0.08,0.161,94,16,23000.0,0.5,3080,1.5,39,85
13790,0.18,5.4,30.5,0.1,0.18,32000.0,0.5,12.0,1.1,21.0,20200,15,8680,374,0.06,0.19,6.9,5.0,180000.0,0.69,1935,0.3,0.22,0.294,85,33,30000.0,1.0,2380,1.5,18,38
15800,0.2,7.0,40.3,0.5,0.19,32500.0,0.5,19.0,6.0,25.0,22200,17,10370,479,0.06,0.05,11.3,5.0,180000.0,0.75,2540,1.0,0.08,0.373,174,35,28000.0,0.5,2630,1.4,28,42
14410,0.18,6.8,38.4,0.5,0.22,33900.0,0.5,17.0,5.7,24.0,20900,17,10550,456,0.06,0.05,10.8,5.0,190000.0,0.74,2270,1.2,0.08,0.355,172,37,23000.0,0.5,2590,1.4,26,41
12350,0.4,9.0,53.8,0.1,0.18,3480.0,0.5,13.0,2.1,0.1,16930,13,2780,560,0.08,0.4,5.5,10.0,420000.0,0.97,1402,0.6,0.09,0.415,166,12,47000.0,1.3,2150,2.0,33,48
22300,0.18,10.9,75.2,1.1,0.42,21300.0,0.5,22.0,10.8,39.0,35700,33,10600,1002,0.08,0.05,20.4,10.0,420000.0,0.95,6880,0.4,0.18,0.354,182,26,49000.0,0.5,3470,1.9,36,85
21800,0.15,8.0,71.9,1.0,0.39,22300.0,0.5,24.0,10.2,40.0,35100,33,10770,953,0.08,0.05,20.2,10.0,440000.0,1.01,6450,0.5,0.17,0.376,175,30,52000.0,0.5,3480,2.1,35,80
15170,0.4,9.0,57.6,0.6,0.23,15780.0,0.5,20.0,6.7,18.0,21400,17,10190,3590,0.06,0.05,11.6,1.7,180000.0,0.58,2290,0.3,0.1,0.148,174,18,34000.0,0.5,2980,0.9,31,43
15260,0.4,9.0,56.3,0.6,0.25,17520.0,0.5,21.0,7.3,21.0,22800,18,10700,1067,0.05,0.05,11.5,1.7,190000.0,0.59,2230,0.4,0.1,0.213,167,18,45000.0,0.5,2640,0.6,29,44
15670,0.3,9.0,54.7,0.5,0.22,17730.0,0.5,19.0,6.8,19.0,22600,17,11010,1091,0.04,0.2,11.6,1.3,170000.0,0.58,2320,0.3,0.09,0.207,183,18,44000.0,0.5,2800,0.6,31,43
